,VIDEO,ANIMAL,BODY-PART,CORRECTION COUNT,CORRECTION PCT
0,test,Animal_1,head,189,1.0
1,test,Animal_1,center,189,1.0
2,test,Animal_1,leftleg,189,1.0
3,test,Animal_1,rightleg,188,0.994709
4,test4,Animal_1,head,110,1.0
5,test4,Animal_1,center,110,1.0
6,test4,Animal_1,leftleg,110,1.0
7,test4,Animal_1,rightleg,110,1.0
8,try2,Animal_1,head,78,1.0
9,try2,Animal_1,center,78,1.0
10,try2,Animal_1,leftleg,78,1.0
11,try2,Animal_1,rightleg,78,1.0
12,try3,Animal_1,head,88,1.0
13,try3,Animal_1,center,88,1.0
14,try3,Animal_1,leftleg,88,1.0
15,try3,Animal_1,rightleg,88,1.0
16,video-20231012-045518-7502573c,Animal_1,head,210,1.0
17,video-20231012-045518-7502573c,Animal_1,center,210,1.0
18,video-20231012-045518-7502573c,Animal_1,leftleg,210,1.0
19,video-20231012-045518-7502573c,Animal_1,rightleg,210,1.0
20,video-20231012-055330-3c9be964,Animal_1,head,147,1.0
21,video-20231012-055330-3c9be964,Animal_1,center,147,1.0
22,video-20231012-055330-3c9be964,Animal_1,leftleg,147,1.0
23,video-20231012-055330-3c9be964,Animal_1,rightleg,147,1.0
